client_id,client_name,credential_id,name,enabled,application,markup,dynamic_commission,action_to_be_applied_(to_base),markup_after_action
1555,NAUTALIA VIAJES,32972,Nautalia_759_AlcazardeSanJuan,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32974,Nautalia_534_Avila,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32975,Nautalia_513_Burgos,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1465,PerfectStay,22077,PerfectStay,TRUE,traveltinohoteles,6,TRUE,0.3,6.3
1555,NAUTALIA VIAJES,32976,Nautalia_324_Valencia,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32977,Nautalia_313_Valencia,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32978,Nautalia_321_Valencia,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32981,Nautalia_328_Villareal,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32982,Nautalia_345_Castellon,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32983,Nautalia_347_Alcoy,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32984,Nautalia_512_Burgos,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32988,Nautalia_522_ArandaDeDuero,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32989,Nautalia_526_Leon,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
198,Pelikaan Reizen,4313,Pelikaan Reizen,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
871,Sembo,34194,Sembo Retail,TRUE,smyroomsae,4,TRUE,0.2,4.2
1555,NAUTALIA VIAJES,32879,Nautalia_218_Granada,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32990,Nautalia_529_Salamanca,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32991,Nautalia_516_Salamanca,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1726,DELFOS OPERADOR MAYORISTA,33874,DELFOS OPERADOR MAYORISTA,TRUE,traveltinohoteles,4.2,TRUE,0.3,4.5
1762,Hirondelle (ES),10827,Hirondelle,FALSE,traveltinohoteles,3.5,TRUE,0.3,3.8
1555,NAUTALIA VIAJES,32994,Nautalia_611_Segovia,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32995,Nautalia_314_Soria,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32996,Nautalia_517_Valladolid,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
295,24x7 Rooms,32622,24x7 Rooms ZA,TRUE,smyroomsae,8,FALSE,0.3,8.3
1555,NAUTALIA VIAJES,32914,Nautalia_123_Irún,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32998,Nautalia_515_MedinaDelCampo,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32999,Nautalia_542_GruposValladolid,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,33000,Nautalia_448_Barcelona,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,33002,Nautalia_440_Barcelona,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
310,Go Global Travel LTD,12034,Go Global_XML ,TRUE,traveltinohoteles,5.25,TRUE,0.3,5.55
283,Carrefour Viajes,12264,Travelcompositor_Carrefour,TRUE,traveltinohoteles,4.5,TRUE,0.3,4.8
164,TravTravel,4311,TravTravel,TRUE,traveltinohoteles,4,TRUE,0.3,4.3
1406,CN Travel,20979,CN Travel (NO USAR),FALSE,traveltinohoteles,4,TRUE,0.3,4.3
1406,CN Travel,33280,CN Travel,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,33005,Nautalia_447_Barcelona,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,33006,Nautalia_416_Barcelona,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,33007,Nautalia_441_Barcelona,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,33010,Nautalia_130_LogroÃ±o,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,33012,Nautalia_121_LogroÃ±o,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,33014,Nautalia_450_Barcelona,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,33015,Nautalia_543_GruposVigo,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,33017,Nautalia_541_Ferrol,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,33018,Nautalia_455_Barcelona,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1789,Grupo Avoris,9824,ALISIOS B2C,TRUE,traveltinohoteles,4,TRUE,0.3,4.3
1789,Grupo Avoris,10205,MARSOL,TRUE,traveltinohoteles,6,TRUE,0.3,6.3
1789,Grupo Avoris,34236,Avoris Agencias,TRUE,traveltinohoteles,6,TRUE,0.3,6.3
165,World2Meet,20712,W2M NewBlue,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,33019,Nautalia_539_Lugo,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,33020,Nautalia_538_VilagarciaDeArousa,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,33021,Nautalia_536_GruposACoruÃ±a,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,33022,Nautalia_521_Vigo,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,33024,Nautalia_511_ACoruÃ±a,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,33073,Nautalia_606_Madrid,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,33078,Nautalia_21_Madrid,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,33097,Nautalia_810_EventosMadrid,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,33098,Nautalia_789_SantCarlesDeLaRapita,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,33099,Nautalia_812_BTCMadrid,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,33100,Nautalia_814_BTCSevilla,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,33101,Nautalia_815_BTCBilbao,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
1555,NAUTALIA VIAJES,32942,Nautalia_354_Xativa,TRUE,traveltinohoteles,5,TRUE,0.3,5.3
