credential_id,credential_name,client_id,client_name,dynamic_commission,action
35003,ALL SEASONS API,157,All Seasons,TRUE,0.2
21216,Central de Reservas Retail,146,Central de Reservas,TRUE,0.2
33539,Central de Reservas Mobile,146,Central de Reservas,TRUE,0.2
33637,Central de Reservas Meta,146,Central de Reservas,TRUE,0.2
34127,Central de Reservas Agencias,146,Central de Reservas,TRUE,0.2
3693,Central de Reservas B2C,146,Central de Reservas,TRUE,0.2
33903,Escalabeds (UAE),139,Escalabeds,TRUE,0.3
33904,Escalabeds B2C (UAE),139,Escalabeds,TRUE,0.3
34083,Escalabeds Retail (UAE),139,Escalabeds,TRUE,0.3
34366,RezliveB2B,132,Rezlive,TRUE,0.2
4770,Rezlive,132,Rezlive,TRUE,0.2
11365,Methabook Sens,131,Methabook,FALSE,-0.5
4162,Methabook,131,Methabook,FALSE,-0.5
9021,Methabook B2C,131,Methabook,FALSE,-0.5
